,Region,Indicators,Value
0,Canada,Industrial capacity use,82.6%
1,Canada,Canada’s net international investment position,$571.5 billion
2,Canada,Imports of goods,$65.8 billion
3,Canada,Exports of goods,$67.0 billion
4,Canada,Goods trade balance,$1.2 billion
5,Canada,Building permits,$10.0 billion
6,Canada,Employment,"19,666,000"
7,Canada,Wheat production,33.8 million tonnes
8,Canada,Unemployment rate,5.1%
9,Canada,Canola production,18.2 million tonnes
10,Canada,Soybeans production,6.5 million tonnes
11,Canada,Corn for grain production,14.5 million tonnes
12,Canada,Quarterly labour productivity,
13,Canada,Real GDP by expenditure,
14,Canada,Real GDP by industry,
15,Canada,Household saving rate,5.7%
16,Canada,Household disposable income,
17,Canada,Terms of trade,"107.9 <span class=""sd-indicator-value-details"">(2012=100)</span>"
18,Canada,Current account balance,-$11.1 billion
19,Canada,Realized net farm income,$13.7 billion
20,Canada,Farm cash receipts,$83.2 billion
21,Canada,Farm operating expenses,$60.3 billion
22,Canada,Total net farm income,$6.1 billion
23,Canada,Average weekly earnings,"$1,175.37"
24,Canada,"Canadian corporations' net income before taxes, seasonally adjusted",$136.8 billion
25,Canada,Trips to Canada by visitors from abroad (not seasonally adjusted),"2,029,087"
26,Canada,Trips abroad by Canadian residents (not seasonally adjusted),"2,993,624"
27,Canada,Retail sales,$61.1 billion
28,Canada,Foreign investment in Canadian securities,-$22.3 billion
29,Canada,Industrial Product Price Index,
30,Canada,"Industrial Product Price Index, excluding energy and petroleum products",
31,Canada,Canadian investment in foreign securities,$9.6 billion
32,Canada,Raw Materials Price Index,
33,Canada,"Raw Materials Price Index, excluding crude energy products",
34,Canada,Regular Employment Insurance beneficiaries,"455,030"
35,Canada,Regular Employment Insurance beneficiaries (year-over-year change),
36,Canada,Consumer Price Index,
37,Canada,Manufacturing sales,$70.4 billion
38,Canada,Wholesale sales,$81.8 billion
39,Canada,Inventories,$122.0 billion
40,Canada,Inventory-to-sales ratio,1.73
41,Canada,Unfilled orders,$109.4 billion
42,Canada,Total investment in building construction,$20.9 billion
43,Canada,Tourism spending in Canada,$18.7 billion
44,Canada,Domestic tourism spending,$14.9 billion
45,Canada,Tourism spending by non-residents,$3.8 billion
46,Canada,Tourism share of gross domestic product,1.5%
47,Canada,Employment generated by tourism,"621,500"
48,Canada,Total wheat production,34.7 million tonnes
49,Canada,Total canola production,19.1 million tonnes
50,Canada,Total soybeans production,6.5 million tonnes
51,Canada,Total corn for grain production,14.9 million tonnes
52,Canada,National wealth,$16.8 trillion
53,Canada,National net worth,$17.6 trillion
54,Canada,Debt service ratio,13.63%
55,Canada,Wheat stocks,3.7 million tonnes
56,Canada,Canola stocks,0.9 million tonnes
57,Canada,Wheat area,25.4 million acres
58,Canada,Canola area,21.4 million acres
59,Canada,Soybean area,5.3 million acres
60,Canada,Corn for grain area,3.6 million acres
