"Date-Retail trade sales by province and territory (x 1,000)",Cnd,Newfoundlnd nd Lrdor,Prince Edwrd Islnd,Nov Scoti,New runswick,Queec,Ontrio,Mnito,Ssktchewn,lert,ritish Columi,Yukon,Northwest Territories,Nunvut
20-Jan,"51,930,547","748,136","214,612","1,402,095","1,155,369","11,258,497","19,379,448","1,769,974","1,705,077","6,908,897","7,208,225","74,117","65,861","40,239"
20-Feb,"52,136,503","765,801","216,332","1,355,463","1,137,808","11,202,272","19,728,020","1,774,097","1,668,848","6,797,046","7,307,595","75,330","67,581","40,309"
20-Mar,"46,059,539","723,975","182,754","1,185,277","986,483","9,112,676","17,915,288","1,604,193","1,470,253","5,889,795","6,807,592","73,207","66,452","41,595"
20-Apr,"35,195,868","556,322","154,044","953,470","822,364","6,789,183","12,587,869","1,297,882","1,316,736","4,906,425","5,637,358","63,763","60,856","49,596"
20-May,"43,643,147","702,775","193,603","1,163,780","1,035,091","9,761,223","14,856,815","1,650,720","1,519,992","6,081,919","6,483,688","70,051","73,125","50,365"
20-Jun,"53,418,795","834,504","220,238","1,377,465","1,175,229","12,025,412","19,822,694","1,834,513","1,722,794","6,881,498","7,330,303","73,216","72,492","48,436"
20-Jul,"53,426,106","816,484","212,228","1,373,342","1,169,172","11,921,180","19,660,992","1,871,362","1,741,033","6,965,690","7,497,414","75,072","74,872","47,266"
20-Aug,"53,254,868","816,180","216,755","1,428,781","1,174,614","12,136,635","19,505,425","1,851,582","1,743,284","6,603,760","7,578,230","75,730","76,013","47,881"
20-Sep,"54,870,019","803,872","228,699","1,398,207","1,239,602","12,065,321","20,262,670","1,883,664","1,748,750","7,250,278","7,789,373","76,869","74,772","47,943"
20-Oct,"55,517,491","801,388","229,108","1,452,341","1,179,240","12,290,095","20,574,947","1,885,575","1,752,218","7,214,699","7,935,736","81,025","74,818","46,301"
20-Nov,"55,562,005","839,405","237,996","1,479,170","1,205,545","12,578,255","20,318,670","1,765,311","1,748,668","7,200,535","7,982,707","81,942","77,339","46,462"
20-Dec,"53,315,486","767,077","225,540","1,396,944","1,139,268","11,729,388","19,288,254","1,637,632","1,767,361","7,210,892","7,945,836","80,175","77,095","50,024"
21-Jan,"52,260,090","868,262","241,049","1,518,250","1,223,184","10,448,554","18,494,713","1,882,125","1,817,628","7,342,426","8,220,348","79,852","77,082","46,615"
21-Feb,"55,786,774","787,955","260,155","1,536,363","1,224,799","12,633,799","19,687,347","2,043,332","1,809,132","7,396,532","8,206,132","81,339","73,567","46,322"
21-Mar,"58,522,542","856,783","245,857","1,565,347","1,247,210","12,967,469","21,910,808","2,091,404","1,845,367","7,369,652","8,216,615","80,948","79,432","45,650"
21-Apr,"55,624,348","878,897","253,798","1,549,017","1,290,397","12,983,593","18,887,845","1,929,533","1,873,799","7,442,326","8,329,072","80,838","78,690","46,544"
21-May,"54,540,124","852,136","249,055","1,366,668","1,269,375","12,710,832","18,357,381","1,946,015","1,920,932","7,391,182","8,277,423","81,602","71,197","46,327"
21-Jun,"56,792,174","822,570","246,700","1,575,257","1,239,037","12,613,378","20,521,605","1,953,183","1,898,608","7,446,976","8,277,134","77,841","73,858","46,026"
21-Jul,"56,785,108","820,488","243,256","1,528,770","1,241,902","12,619,178","20,850,058","1,927,513","1,860,908","7,326,735","8,169,992","77,794","72,453","46,062"
21-Aug,"57,699,143","837,274","251,216","1,564,763","1,255,829","12,877,454","21,289,265","1,951,028","1,916,762","7,363,587","8,194,344","79,820","72,267","45,534"
21-Sep,"57,201,326","855,872","250,527","1,608,297","1,250,201","12,940,520","20,769,029","1,922,838","1,898,930","7,351,563","8,159,530","79,888","69,216","44,916"
21-Oct,"58,218,955","868,405","261,349","1,604,750","1,276,680","13,057,705","21,142,687","2,009,816","1,977,977","7,611,336","8,206,844","81,257","73,363","46,786"
21-Nov,"58,750,669","880,748","257,217","1,596,523","1,320,461","13,153,731","21,521,416","1,984,262","2,024,582","7,597,158","8,213,872","80,528","73,420","46,753"
21-Dec,"57,919,779","855,066","252,132","1,553,235","1,277,572","13,005,091","21,255,265","1,962,664","1,974,724","7,484,707","8,095,826","81,747","74,179","47,572"
22-Jan,"59,986,831","921,964","260,995","1,561,884","1,314,114","13,544,398","22,304,814","2,036,353","1,987,222","7,540,819","8,311,446","83,027","70,405","49,391"
22-Feb,"60,182,697","879,485","253,713","1,649,906","1,315,508","13,588,748","22,343,694","2,079,505","2,001,117","7,599,300","8,273,872","81,900","68,705","47,243"
22-Mar,"60,483,175","889,299","257,485","1,602,739","1,317,616","13,389,604","22,774,370","2,081,712","1,973,522","7,728,321","8,267,074","84,296","71,345","45,791"
22-Apr,"60,872,720","902,708","265,037","1,620,400","1,345,259","13,419,832","22,869,472","2,024,862","1,997,684","7,795,053","8,429,052","84,208","71,615","47,538"
22-May,"62,190,676","911,906","275,046","1,664,745","1,386,433","13,947,381","22,948,446","2,171,123","2,017,550","8,112,105","8,549,666","86,408","74,013","45,855"
22-Jun,"62,641,072","883,471","271,998","1,629,639","1,357,748","13,646,337","24,092,700","2,138,550","2,051,741","7,855,597","8,501,888","91,228","74,640","45,536"
22-Jul,"61,196,571","914,645","273,522","1,659,480","1,378,563","13,666,857","22,437,932","2,136,693","2,007,823","8,052,020","8,465,839","86,656","70,706","45,834"
22-Aug,"61,455,781","931,874","268,358","1,628,958","1,346,414","13,803,154","22,423,323","2,157,637","2,055,180","8,047,485","8,588,345","87,365","71,074","46,615"
22-Sep,"61,144,040","915,459","261,629","1,602,443","1,359,854","13,625,108","22,645,167","2,128,850","2,066,027","7,920,263","8,414,235","84,631","73,346","47,030"
