Data type,"Population-Seasonally adjusted  (x 1,000)","Labour force-Seasonally adjusted  (x 1,000)","EmploymentSeasonally adjusted  (x 1,000)","Trend-cycle 7  (x 1,000)","Full-time employment-Seasonally adjusted  (x 1,000)","Part-time employment-Seasonally adjusted  (x 1,000)","Unemployment-Seasonally adjusted  (x 1,000)",Unemployment -Seasonally adjusted,Participation-Seasonally adjusted,Employment-Seasonally adjusted
19-Jan,"30,479.80","20,004.10","18,822.20","18,810.60","15,214.70","3,607.50","1,181.90",5.9,65.6,61.8
19-Feb,"30,507.80","20,063.50","18,876.40","18,859.40","15,273.70","3,602.60","1,187.10",5.9,65.8,61.9
19-Mar,"30,542.60","20,031.20","18,861.70","18,900.80","15,278.10","3,583.60","1,169.60",5.8,65.6,61.8
19-Apr,"30,589.00","20,129.40","18,971.20","18,939.10","15,355.80","3,615.40","1,158.20",5.8,65.8,62
19-May,"30,630.40","20,082.40","19,004.30","18,969.80","15,394.70","3,609.70","1,078.10",5.4,65.6,62
19-Jun,"30,674.70","20,104.00","18,995.70","18,992.80","15,411.70","3,584.00","1,108.30",5.5,65.5,61.9
19-Jul,"30,727.50","20,129.40","18,965.90","19,006.80","15,395.90","3,570.00","1,163.50",5.8,65.5,61.7
19-Aug,"30,763.60","20,201.90","19,025.50","19,022.60","15,403.20","3,622.40","1,176.40",5.8,65.7,61.8
19-Sep,"30,808.90","20,200.60","19,073.10","19,063.80","15,477.20","3,595.90","1,127.50",5.6,65.6,61.9
19-Oct,"30,842.30","20,215.80","19,063.40","19,136.30","15,454.60","3,608.80","1,152.30",5.7,65.5,61.8
19-Nov,"30,872.50","20,212.30","19,000.00","19,124.80","15,412.80","3,587.30","1,212.20",6,65.5,61.5
19-Dec,"30,897.90","20,248.60","19,082.40","18,988.90","15,485.00","3,597.50","1,166.20",5.8,65.5,61.8
20-Jan,"30,924.20","20,250.90","19,116.50","18,731.50","15,517.10","3,599.40","1,134.40",5.6,65.5,61.8
20-Feb,"30,949.30","20,301.30","19,143.60","18,330.80","15,552.90","3,590.70","1,157.60",5.7,65.6,61.9
20-Mar,"30,978.80","19,687.30","18,131.40","17,849.70","15,075.10","3,056.30","1,555.90",7.9,63.6,58.5
20-Apr,"30,994.30","18,568.70","16,145.80","17,438.70","13,605.90","2,539.90","2,422.90",13,59.9,52.1
20-May,"31,009.10","19,019.70","16,467.20","17,256.50","13,880.90","2,586.30","2,552.50",13.4,61.3,53.1
20-Jun,"31,037.00","19,810.30","17,397.70","17,316.70","14,375.90","3,021.80","2,412.50",12.2,63.8,56.1
20-Jul,"31,061.60","19,974.60","17,801.80","17,562.00","14,459.70","3,342.20","2,172.80",10.9,64.3,57.3
20-Aug,"31,084.70","20,051.60","17,993.70","17,854.90","14,613.90","3,379.80","2,058.00",10.3,64.5,57.9
20-Sep,"31,114.60","20,248.70","18,377.70","18,151.60","14,911.30","3,466.40","1,871.00",9.2,65.1,59.1
20-Oct,"31,138.80","20,327.90","18,467.70","18,381.40","14,965.40","3,502.30","1,860.20",9.2,65.3,59.3
20-Nov,"31,161.30","20,286.90","18,516.30","18,468.60","15,058.30","3,458.00","1,770.60",8.7,65.1,59.4
20-Dec,"31,177.50","20,298.50","18,493.40","18,493.50","15,120.20","3,373.20","1,805.00",8.9,65.1,59.3
21-Jan,"31,191.20","20,173.60","18,285.60","18,525.20","15,129.30","3,156.30","1,888.00",9.4,64.7,58.6
21-Feb,"31,216.20","20,242.30","18,558.10","18,568.00","15,224.80","3,333.30","1,684.30",8.3,64.8,59.5
21-Mar,"31,234.50","20,356.70","18,834.40","18,609.20","15,384.80","3,449.60","1,522.20",7.5,65.2,60.3
21-Apr,"31,251.60","20,261.30","18,635.60","18,661.60","15,265.50","3,370.00","1,625.70",8,64.8,59.6
21-May,"31,265.90","20,195.00","18,584.80","18,717.90","15,277.60","3,307.20","1,610.20",8,64.6,59.4
21-Jun,"31,283.30","20,343.10","18,799.40","18,791.80","15,235.90","3,563.50","1,543.60",7.6,65,60.1
21-Jul,"31,315.30","20,396.00","18,879.50","18,889.70","15,303.50","3,576.10","1,516.50",7.4,65.1,60.3
21-Aug,"31,356.70","20,402.60","18,947.30","18,970.90","15,345.00","3,602.30","1,455.30",7.1,65.1,60.4
21-Sep,"31,391.30","20,560.70","19,121.80","19,060.10","15,558.30","3,563.50","1,438.90",7,65.5,60.9
21-Oct,"31,430.00","20,537.40","19,141.80","19,160.40","15,591.10","3,550.70","1,395.70",6.8,65.3,60.9
21-Nov,"31,466.50","20,559.80","19,297.60","19,240.90","15,654.50","3,643.20","1,262.20",6.1,65.3,61.3
21-Dec,"31,510.30","20,612.30","19,376.20","19,312.30","15,797.30","3,578.90","1,236.10",6,65.4,61.5
22-Jan,"31,546.80","20,517.90","19,176.10","19,384.10","15,714.60","3,461.50","1,341.80",6.5,65,60.8
22-Feb,"31,588.70","20,648.20","19,512.70","19,458.90","15,836.10","3,676.60","1,135.50",5.5,65.4,61.8
22-Mar,"31,626.90","20,685.30","19,585.20","19,520.60","15,928.80","3,656.30","1,100.20",5.3,65.4,61.9
