Macrotrends Data Download Canada Consumer Spending 2022,,,
date,  Spending-Billions of US $, Per Capita,  Growth Rate-Annual % Change
12/31/1978,120.5645656,14166.9469,2.9834
12/31/1979,131.0884412,14348.4722,2.2887
12/31/1980,147.3126924,14406.4644,1.7074
12/31/1981,162.0301943,14400.2363,1.1973
12/31/1982,168.7492908,13864.9714,-2.5648
12/31/1983,185.3618955,14071.3148,2.4964
12/31/1984,191.7002548,14474.1363,3.8384
12/31/1985,198.1808861,15045.305,4.9003
12/31/1986,210.2540482,15406.2879,3.4223
12/31/1987,238.2021116,15793.7931,3.8755
12/31/1988,277.4510441,16233.3145,4.1243
12/31/1989,311.1621622,16488.5089,3.4109
12/31/1990,332.8582448,16464.4698,1.3711
12/31/1991,350.8597364,16079.977,-1.114
12/31/1992,342.9759245,16135.9279,1.5428
12/31/1993,333.8252849,16256.1076,1.858
12/31/1994,328.1714997,16543.8606,2.8909
12/31/1995,338.2869426,16741.0214,2.2443
12/31/1996,355.8159149,17058.8446,2.9692
12/31/1997,372.5335837,17715.9111,4.889
12/31/1998,361.9083249,18050.4007,2.7372
12/31/1999,381.5925153,18608.9334,3.9357
12/31/2000,406.1591812,19185.6919,4.064
12/31/2001,407.1358471,19434.7935,2.4048
12/31/2002,426.0517428,19993.2733,3.9984
12/31/2003,498.5975305,20357.5827,2.7441
12/31/2004,561.7878555,20785.8956,3.0611
12/31/2005,637.0688232,21399.1873,3.9275
12/31/2006,717.9310649,22073.3405,4.1978
12/31/2007,803.8581138,22824.6632,4.4128
12/31/2008,845.7788191,23254.1957,2.9912
12/31/2009,791.41195,23009.7157,0.0849
12/31/2010,921.8592952,23571.2466,3.5858
12/31/2011,1002.518899,23873.3569,2.2778
12/31/2012,1024.256666,24063.2781,1.896
12/31/2013,1033.371895,24436.036,2.6277
12/31/2014,1007.541878,24815.3025,2.5782
12/31/2015,899.8017,25202.4765,2.321
12/31/2016,893.6371825,25443.0203,2.1041
12/31/2017,956.182082,26064.7101,3.6799
12/31/2018,997.6906412,26350.3209,2.5339
12/31/2019,1005.964484,26410.2985,1.6559
12/31/2020,940.4432665,24575.0362,-6.2559
12/31/2021,1085.906438,5.062,
